Dealer,Region,Total_Revenue,Total_Units,Num_Transactions,Avg_Unit_Price,Avg_Discount,FuelType_Diversity,Brand_Diversity,Avg_Order_Value,Top_Fuel_Type,Customer,Segment,Segment_Label,PC1,PC2
City Auto Hub,Central,12705000,17,3,883333.3333333334,5.666666666666667,2,3,4235000.0,CNG,City Auto Hub - Central,1,Low-Value,-2.0089455422833615,-1.2657032965252197
City Auto Hub,North,26477500,35,4,900000.0,5.25,2,2,6619375.0,CNG,City Auto Hub - North,1,Low-Value,-0.21608456979175175,-0.4697005222711558
City Auto Hub,South,18442000,16,2,1225000.0,4.5,2,2,9221000.0,Diesel,City Auto Hub - South,1,Low-Value,-1.9541180495406603,0.80579329318136
City Auto Hub,West,12050000,19,2,625000.0,0.0,2,2,6025000.0,Petrol,City Auto Hub - West,1,Low-Value,-2.652642786908484,0.08856207902637293
Elite Auto,Central,43872500,48,6,1050000.0,5.333333333333333,4,4,7312083.333333333,CNG,Elite Auto - Central,2,Mid-Value,2.6385693134690826,-0.7414582929754183
Elite Auto,East,26343000,23,4,1025000.0,1.0,2,3,6585750.0,Electric,Elite Auto - East,1,Low-Value,-1.2835210753700144,0.3120496174211315
Elite Auto,North,25067000,21,4,1012500.0,1.5,2,4,6266750.0,Diesel,Elite Auto - North,1,Low-Value,-1.3920541356627827,0.10209711232709351
Elite Auto,South,35665000,31,3,1166666.6666666667,2.3333333333333335,2,3,11888333.333333334,CNG,Elite Auto - South,1,Low-Value,-0.33129136298946854,1.963250073184655
Elite Auto,West,52205000,38,4,1675000.0,5.5,4,3,13051250.0,Petrol,Elite Auto - West,0,High-Value,2.1915537606353115,1.8477607764578792
Metro Cars,Central,70239000,56,5,1200000.0,1.6,3,4,14047800.0,Diesel,Metro Cars - Central,0,High-Value,3.2638131309674274,2.8092997993416056
Metro Cars,East,37778000,40,5,950000.0,5.2,3,3,7555600.0,CNG,Metro Cars - East,2,Mid-Value,1.2769967698097164,-0.419951782626655
Metro Cars,North,33441000,32,6,1525000.0,2.8333333333333335,3,4,5573500.0,Diesel,Metro Cars - North,2,Mid-Value,0.49544157417595025,-0.30141015753513073
Metro Cars,South,7370000,4,2,2575000.0,1.0,2,2,3685000.0,Petrol,Metro Cars - South,1,Low-Value,-4.074698259708777,1.1478635273296693
Metro Cars,West,38525500,40,6,1000000.0,5.166666666666667,4,4,6420916.666666667,Petrol,Metro Cars - West,2,Mid-Value,1.992024816353602,-1.1349512089281235
Prime Motors,Central,29150000,31,3,1000000.0,4.0,2,3,9716666.666666666,Diesel,Prime Motors - Central,1,Low-Value,-0.5206025752183991,0.8555260229265382
Prime Motors,East,24418000,36,6,725000.0,2.6666666666666665,4,4,4069666.6666666665,Electric,Prime Motors - East,2,Mid-Value,0.9039597341263487,-1.900298661606492
Prime Motors,North,22223000,35,5,800000.0,5.2,4,3,4444600.0,Petrol,Prime Motors - North,2,Mid-Value,0.7606452822730698,-1.96941851143441
Prime Motors,South,19467000,28,6,766666.6666666666,6.833333333333333,3,4,3244500.0,Diesel,Prime Motors - South,2,Mid-Value,0.23686753364826235,-2.6343689760439597
Prime Motors,West,19263000,33,3,683333.3333333334,5.333333333333333,2,3,6421000.0,CNG,Prime Motors - West,1,Low-Value,-0.8286308567763022,-0.6794389773236141
Speedway Motors,Central,16740000,21,2,850000.0,5.0,1,2,8370000.0,Petrol,Speedway Motors - Central,1,Low-Value,-2.1960371635422424,0.4045467953199181
Speedway Motors,East,38436500,40,6,966666.6666666666,4.0,2,5,6406083.333333333,Electric,Speedway Motors - East,2,Mid-Value,0.8873256334793085,-0.4305594561150048
Speedway Motors,North,47246000,40,4,1212500.0,6.5,3,3,11811500.0,Petrol,Speedway Motors - North,0,High-Value,1.7363078872382576,1.0911778941544523
Speedway Motors,South,38213000,40,5,980000.0,3.8,3,4,7642600.0,CNG,Speedway Motors - South,2,Mid-Value,1.1398469600110637,-0.12322852809283959
Speedway Motors,West,32615000,39,4,900000.0,1.75,2,3,8153750.0,Electric,Speedway Motors - West,1,Low-Value,-0.06472601839515651,0.6425613808073449
