Sale ID,Date,Brand,Model,Fuel Type,Region,Dealer,Units Sold,Unit Price (INR),Discount (%),Revenue (INR)
S0088,20-01-2026,Honda,Elevate,,East,Speedway Motors,4,1300000.0,2.0,5096000
S0011,2026-06-21,Mahindra,Scorpio,CNG,South,  Speedway Motors  ,7,1400000.0,0.0,9800000
S0021,27-04-2026,Kia,Carens,CNG,south,Elite Auto,10,1100000.0,0.0,11000000
S0024,2026-05-18,Maruti Suzuki,Alto,Petrol,North,Prime Motors,10,450000.0,2.0,4410000
S0064,11-03-2026,Tata,Harrier,Diesel,East,Speedway Motors,9,1650000.0,2.0,14553000
S0055,2026-05-22,Hyundai,Venue,CNG,North,Metro Cars,1,900000.0,5.0,855000
S0043,2026-02-03,Toyota,Glanza,Electric,central,Elite Auto,7,750000.0,10.0,4725000
S0057,11-03-2026,Kia,Seltos,Petrol,South,Prime Motors,2,1150000.0,5.0,2185000
S0029,2026-03-18,Kia,Carens,diesel,Central,Prime Motors,13,1100000.0,10.0,12870000
S0067,28/02/2026,Mahindra,XUV300,Electric,Central,  Metro Cars  ,12,950000.0,2.0,11172000
S0070,2026-02-10,Toyota,Glanza,Diesel,East,  Prime Motors  ,8,750000.0,2.0,5880000
S0073,05-03-2026,Mahindra,XUV700,Electric,East,Elite Auto,11,1600000.0,2.0,17248000
S0075,22/01/2026,Maruti Suzuki,Brezza,PETROL,East,Metro Cars,11,1150000.0,2.0,12397000
S0007,2026-05-08,Maruti Suzuki,WagonR,,Central,  Prime Motors  ,10,600000.0,-5.0,5880000
S0041,09-05-2026,Honda,City,Diesel,North,  Metro Cars  ,4,1250000.0,5.0,4750000
S0018,2026-03-01,Mahindra,XUV300,CNG,west,Metro Cars,11,950000.0,7.0,9718500
S0060,25/07/2026,Toyota,Fortuner,DIESEL,North,Metro Cars,1,4000000.0,0.0,4000000
S0051,2026-04-20,Mahindra,XUV700,electric,west,  Metro Cars  ,2,1600000.0,2.0,3136000
S0082,20-01-2026,Hyundai,i20,Diesel,  West  ,  Speedway Motors  ,14,750000.0,7.0,9765000
S0082,20/01/2026,Hyundai,i20,Diesel,West,Speedway Motors,14,750000.0,7.0,9765000
S0049,2026-05-10,Toyota,Glanza,Electric,Central,  Elite Auto  ,13,750000.0,7.0,9067500
S0040,22/04/2026,Kia,Sonet,Petrol,NORTH,Prime Motors,9,800000.0,,7056000
S0023,2026-02-11,Toyota,Urban Cruiser,Petrol,South,Prime Motors,4,900000.0,7.0,3348000
S0036,2026-05-03,Mahindra,Thar,petrol,  North  ,Speedway Motors,13,1300000.0,2.0,16562000
S0047,14/07/2026,Tata,Nexon,Petrol,  Central  ,Speedway Motors,9,900000.0,0.0,8100000
S0090,05/05/2026,Honda,Elevate,CNG,North,  Metro Cars  ,4,1300000.0,7.0,4836000
S0089,2026-06-04,Kia,Seltos,diesel,,Metro Cars,6,1150000.0,,6762000
S0096,11/05/2026,Honda,Elevate,CNG,  South  ,City Auto Hub,5,1300000.0,,6045000
S0097,2026-05-22,Tata,Punch,CNG,west,Prime Motors,13,700000.0,7.0,8463000
S0038,30-04-2026,Maruti Suzuki,Baleno,Diesel,South,  Prime Motors  ,3,700000.0,10.0,1890000
S0050,05-02-2026,Hyundai,Exter,cng,Central,  City Auto Hub  ,14,750000.0,7.0,9765000
S0013,16/01/2026,Honda,Amaze,Petrol,NORTH,Metro Cars,8,800000.0,0.0,6400000
S0033,2026-03-30,Maruti Suzuki,Swift,  CNG  ,West,Metro Cars,4,650000.0,10.0,2340000
S0083,2026-02-07,Mahindra,Thar,Petrol,central,City Auto Hub,2,1300000.0,10.0,2340000
S0014,2026-01-06,Toyota,Glanza,,East,Speedway Motors,15,750000.0,5.0,10687500
S0025,2026-02-08,Maruti Suzuki,Alto,Petrol,North,City Auto Hub,10,450000.0,7.0,4185000
S0035,01-01-2026,Hyundai,Venue,Diesel,West,Elite Auto,15,900000.0,10.0,12150000
S0091,14-04-2026,Mahindra,XUV700,diesel,North,Speedway Motors,11,1600000.0,7.0,16368000
S0075,2026-01-22,Maruti Suzuki,Brezza,  PETROL  ,east,Metro Cars,11,1150000.0,2.0,12397000
S0068,2026-01-04,Tata,Punch,  Diesel  ,West,Metro Cars,1,700000.0,2.0,686000
S0084,04/05/2026,Tata,Harrier,cng,Central,Elite Auto,3,1650000.0,0.0,4950000
S0071,2026-03-24,Tata,Altroz,petrol,East,Metro Cars,6,750000.0,10.0,4050000
S0027,06-02-2026,Honda,Amaze,Electric,West,Speedway Motors,5,,0.0,4000000
S0053,11-02-2026,Tata,Punch,Electric,  South  ,  Prime Motors  ,7,700000.0,7.0,4557000
S0061,27-04-2026,Tata,Nexon,Diesel,  North  ,  Metro Cars  ,14,900000.0,0.0,12600000
S0080,11/07/2026,Kia,Sonet,Electric,  East  ,Prime Motors,8,800000.0,0.0,6400000
S0065,2026-05-22,Tata,Nexon,CNG,north,Prime Motors,1,900000.0,10.0,810000
S0022,2026-05-04,Honda,Elevate,Electric,West,Speedway Motors,7,1300000.0,0.0,9100000
S0026,2026-01-30,Toyota,Glanza,cng,CENTRAL,Metro Cars,8,750000.0,0.0,6000000
S0034,2026-05-01,Mahindra,Thar,CNG,North,City Auto Hub,2,1300000.0,2.0,2548000
S0030,2026-04-02,Toyota,Innova,Diesel,CENTRAL,Metro Cars,15,2000000.0,2.0,29400000
S0095,14-01-2026,Maruti Suzuki,Alto,  Electric  ,EAST,Prime Motors,5,450000.0,0.0,2250000
S0015,25-02-2026,Mahindra,Thar,Diesel,CENTRAL,Prime Motors,8,1300000.0,0.0,10400000
S0072,27/03/2026,Hyundai,Creta,CNG,South,  Metro Cars  ,3,1150000.0,0.0,3450000
S0058,14/04/2026,Maruti Suzuki,Baleno,CNG,South,Speedway Motors,14,700000.0,5.0,9310000
S0056,17/03/2026,Mahindra,Bolero,Petrol,West,Metro Cars,9,950000.0,10.0,7695000
S0094,2026-05-31,Maruti Suzuki,Alto,CNG,east,Prime Motors,7,450000.0,7.0,2929500
S0004,26/02/2026,Maruti Suzuki,Baleno,Petrol,Central,Elite Auto,7,700000.0,0.0,4900000
S0044,2026-07-18,Kia,Sonet,  Petrol  ,West,  City Auto Hub  ,10,800000.0,0.0,8000000
S0012,29/05/2026,Maruti Suzuki,WagonR,CNG,East,Metro Cars,10,600000.0,7.0,5580000
S0087,2026-01-20,Hyundai,Venue,Petrol,West,Prime Motors,5,900000.0,7.0,4185000
S0046,2026-02-18,Maruti Suzuki,Alto,Electric,North,Elite Auto,1,450000.0,2.0,441000
S0092,2026-03-26,Tata,Punch,Electric,East,Speedway Motors,6,700000.0,0.0,4200000
S0094,2026-05-31,Maruti Suzuki,Alto,CNG,East,Prime Motors,7,450000.0,7.0,2929500
S0098,12/07/2026,Kia,Sonet,PETROL,North,Speedway Motors,8,800000.0,10.0,5760000
S0086,2026-05-21,Toyota,Glanza,ELECTRIC,west,Speedway Motors,13,750000.0,0.0,9750000
S0020,2026-04-18,Mahindra,XUV300,Diesel,East,  Metro Cars  ,1,950000.0,2.0,931000
S0039,2026-02-09,Honda,Elevate,diesel,Central,  Elite Auto  ,8,1300000.0,5.0,9880000
